Name,Hidden,Completion Status,Community Score
Fallout New Vegas: Honest Hearts,False,5 - Uncategorized,72
Fallout New Vegas: Lonesome Road,False,5 - Uncategorized,69
Fallout New Vegas: Old World Blues,False,5 - Uncategorized,81
Fallout Tactics: Brotherhood of Steel,False,5 - Uncategorized,70
Fallout: A Post Nuclear Role Playing Game,False,5 - Uncategorized,87
Fallout: New Vegas,False,3 - Plan to Play,87
Fangs,False,8 - Dead,46
Fantastic Fetus: Prebirth,False,9 - Trash,
Fantasy RPG Cursors (gold),False,9 - Trash,
Fantasy Strike,False,5 - Uncategorized,63
Fast Cubes,False,9 - Trash,
Fat Slice 2,False,9 - Trash,
Fatum Betula,False,5 - Uncategorized,80
Feisty Heist,False,9 - Trash,
"Feyna's Quest",False,9 - Trash,
Field of Glory II,False,5 - Uncategorized,81
Figment,True,5 - Uncategorized,72
Figment,False,5 - Uncategorized,84
Filament,False,5 - Uncategorized,82
Final Spike,False,9 - Trash,
Find Me,False,9 - Trash,
Fire & Fondness 2,False,9 - Trash,
Fire Place,False,5 - Uncategorized,70
Firemakaf,False,9 - Trash,
First Class Trouble,False,9 - Trash,
Fit For A King,False,5 - Uncategorized,70
Flashback,False,5 - Uncategorized,83
Flashover MegaSector,False,9 - Trash,
Flewberry,False,9 - Trash,
Flufftopia,False,9 - Trash,
Food Flinger VR,False,9 - Trash,
For The King,False,3 - Plan to Play,87
for|rest,False,9 - Trash,
FORGET THE BRAKES!,False,9 - Trash,
forma.8,False,9 - Trash,
Fort Triumph,False,5 - Uncategorized,77
Fortnite,False,7 - Dropped,69
Fortune-499,False,5 - Uncategorized,70
Fossil Echo,False,5 - Uncategorized,61
Fossil Hunters,False,5 - Uncategorized,60
Fostering Apocalypse,False,9 - Trash,
Four Horsemen,False,9 - Trash,
Fractured Minds,False,5 - Uncategorized,75
FRAMED Collection,False,5 - Uncategorized,79
Freaky Fish DX,False,9 - Trash,
Freshly Frosted,False,5 - Uncategorized,
"Frick, Inc.",False,9 - Trash,
FroggieChat,False,9 - Trash,
Froggy Family Fort,False,9 - Trash,
From Orbit,False,9 - Trash,
from view,False,9 - Trash,
Fugl,False,5 - Uncategorized,80
FurnCap,False,9 - Trash,
Fury Unleashed,False,5 - Uncategorized,86
Future Unfolding,False,5 - Uncategorized,70
FutureGrind,False,5 - Uncategorized,70
FUTUREVOXIMAGINARIUMDOTEXEV1.1:DOGELOVEREDITION,False,9 - Trash,
Fuzzy Road Home,False,9 - Trash,
Galactic Bar Fight VR,False,9 - Trash,
Galactic Civilizations III,False,5 - Uncategorized,77
Galactic Civilizations III (Test branch),False,9 - Trash,
GalaxSeed,False,9 - Trash,
Gamedec,False,5 - Uncategorized,
GameGuru Classic,False,5 - Uncategorized,71
Ganbare! Super Strikers,False,5 - Uncategorized,70
Gardenia,False,9 - Trash,
GearHead Caramel,False,9 - Trash,
Gebo,False,9 - Trash,
Geneforge 1: Mutagen,False,9 - Trash,
Ghost of a Tale,False,5 - Uncategorized,84
Ghostrunner,False,5 - Uncategorized,79
Gig Life,False,9 - Trash,
Gigabit,False,9 - Trash,
Gimmick in the Chaos Dimension,False,9 - Trash,
Gladiabots,False,5 - Uncategorized,80
Glitch Dungeon,False,9 - Trash,
Glittermitten Grove,False,5 - Uncategorized,80
gloom reducer,False,9 - Trash,
Gloomhaven,False,5 - Uncategorized,72
Gloria Victis,False,5 - Uncategorized,70
Glove Skin,True,0 - New,
GNOG,False,5 - Uncategorized,75
Go Home Dinosaurs!,False,5 - Uncategorized,80
Godlike Burger,False,9 - Trash,
Gods Will Fall,False,5 - Uncategorized,
Going Under,False,5 - Uncategorized,88
Golf Peaks,False,5 - Uncategorized,71
GoNNER,False,5 - Uncategorized,70
Good Dog,False,9 - Trash,
Good Lookin Home Cookin: A CMC Vignette,False,9 - Trash,
Good Morning Drifter,False,9 - Trash,
Good Morning Hon,False,9 - Trash,
Good Mourning,False,9 - Trash,
Goopty Goo,False,9 - Trash,
GourMelee,False,9 - Trash,
Grand Theft Auto V,False,5 - Uncategorized,90
Grapple Force Rena,False,5 - Uncategorized,70
Gratia,False,9 - Trash,
GRAVITY Pilot!,False,9 - Trash,
Greak: Memories of Azur,False,5 - Uncategorized,
Greedy Bubble,False,9 - Trash,
GRIME,False,5 - Uncategorized,70
Grime House,False,9 - Trash,
Grimm & Tonic: Aperitif,False,9 - Trash,
Grow Big (or Go Home): Ultimate Edition,False,9 - Trash,
Grow in the Hole,False,9 - Trash,
Grumpy Librarian,False,9 - Trash,
Guacamelee! 2,False,5 - Uncategorized,81
Guacamelee! Super Turbo Championship Edition,False,5 - Uncategorized,82
Guild of Dungeoneering,False,5 - Uncategorized,69
GUILTY GEAR -STRIVE-,False,4 - Later,91
Gun Rounds,False,9 - Trash,
Gunbuds,False,9 - Trash,
Gunhouse,False,9 - Trash,
Guppy,False,9 - Trash,
GUROBU,False,9 - Trash,
Gutwhale,False,5 - Uncategorized,80
Gyro Boss DX,False,9 - Trash,
Hack FPS,False,9 - Trash,
Hack FPS - Anniversary Edition,False,9 - Trash,
Hack Grid,False,9 - Trash,
Hacknet,True,5 - Uncategorized,78
Hacknet,False,5 - Uncategorized,78
Halcyon 6,False,5 - Uncategorized,72
Half-Life 2,False,5 - Uncategorized,96
Half-Life 2: Deathmatch,False,5 - Uncategorized,88
Half-Life 2: Lost Coast,False,5 - Uncategorized,67
Halloween Forever,False,5 - Uncategorized,80
Halo Infinite,False,2 - Online,70
Halo Infinite,True,,83
Halo: The Master Chief Collection,False,4 - Later,86
Halo: The Master Chief Collection,True,,86
Haque,False,5 - Uncategorized,70
Harvest Hero Origins,False,9 - Trash,
Harvest Island,False,9 - Trash,
Harvesterado,False,9 - Trash,
Haven Park,False,5 - Uncategorized,70
Hazard,False,9 - Trash,
HD Wallpaper,False,9 - Trash,
Head AS Code,False,9 - Trash,
Headlong Racing,False,9 - Trash,
Headsnatchers,False,5 - Uncategorized,52
Headspun: Dazed Edition,False,9 - Trash,
Heartbeat,False,9 - Trash,
Hearthstone,False,7 - Dropped,80
Hell is other demons,False,5 - Uncategorized,71
Hell is Others,False,5 - Uncategorized,
Hellcraze,False,9 - Trash,
Hellhole Game,False,9 - Trash,
HELP - The Heroes Enhancing Lives Program,False,9 - Trash,
Hero Generations,False,5 - Uncategorized,50
Hero Hours Contract,False,9 - Trash,
Hero of the Kingdom II,False,5 - Uncategorized,73
Heroes of Might and Magic 3: Complete,False,4 - Later,94
Heroes of the Storm,False,5 - Uncategorized,73
Hexed,False,9 - Trash,
Hexologic,False,5 - Uncategorized,70
Hidden Folks,False,5 - Uncategorized,77
